ADM0_EN,ADM0_PCODE,escuelas_primaria_total,matricula_primaria_total,docentes_primaria_total,escuelas_secundaria_total,escuelas_media_total,matricula_secundaria_total,docentes_secundaria_total,escuelas_inicial_total,matricula_inicial_total,docentes_inicial_urbana,docentes_inicial_rural,docentes_inicial_total,docentes_primaria_urbana,docentes_primaria_rural,docentes_secundaria_urbana,docentes_secundaria_rural,escuelas_inicial_urbana,escuelas_inicial_rural,escuelas_primaria_urbana,escuelas_primaria_rural,escuelas_secundaria_urbana,escuelas_secundaria_rural,escuelas_media_urbana,escuelas_media_rural,matricula_inicial_rural,matricula_primaria_urbana,matricula_primaria_rural,matricula_secundaria_urbana,matricula_secundaria_rural,matricula_media_total,matricula_media_urbana,matricula_media_rural,docentes_media_total,docentes_media_urbana,docentes_media_rural,matricula_inicial_urbana
Argentina,ARG,22819,4806676,398969,13674,13674,4062216,230861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,308,63786,3363,62,62,22760,1458,215,5384,196,190,386,1446,1917,1024,434,,,,,,,,,,,,,,,,,,,,
Bolivia (Estado Plurinacional de),BOL,13418,,,5313,5313,,,11519,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,79947,11644258,590414,47227,21016,9773346,641962,71374,4170667,,,,485877,110137,495310,160200,33163,38211,36738,43209,28895,18332,17805,3211,691524,9727574,1916684,8477642,1295704,6690396,6283698,406698,455943,417934,43148,
Chile,CHL,7420,1308150,206168,7420,2608,477871,,5436,296201,152376,25208,177584,173226,32942,,,4111,1325,4358,3062,4358,3062,2442,166,33891,1196301,111849,432763,45108,875239,844159,31080,128834,123017,5817,262310
Colombia,COL,41036,3183313,135009,11019,8215,2435552,118671,34294,584869,18095,9314,27409,76065,58944,82379,36292,6059,28235,6802,34234,4225,6794,3920,4295,186361,2119641,1063672,1814705,620847,910879,713936,196943,48709,36857,11852,398508
Costa Rica,CRI,3682,400109,,770,,366250,,3183,90780,,,,,,,,1006,2177,1145,2537,396,374,,,41215,252096,148013,252894,113356,,,,,,,49565
Ecuador,ECU,12485,1356534,,12485,2781,999378,,5818,243185,,,,,,,,3076,2742,5634,6851,5634,6851,1564,1217,64499,977074,379460,741458,257920,685068,540528,144540,,,,178686
Guatemala,GTM,16688,2125490,,4419,948,465062,,15362,648721,,,,,,,,1629,13733,1571,15117,928,3491,619,329,506478,441670,1683820,209964,255098,106134,83589,22545,,,,142243
Guyana,GUY,347,68570,4352,199,,67541,4986,328,24268,,,2627,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,16402,,,16402,485,,,3509,,,,,,,,,673,2836,2055,14347,2055,14347,129,356,,,,,,,,,,,,
Jamaica,JAM,685,,,231,157,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
México,MEX,86554,11994856,466242,16982,14300,4288474,186788,73425,3739063,,,,,,,,,,,,,,,,,,,,,4210905,,,315361,,,
Panamá,PAN,2767,,,831,253,,,1916,,,,,,,,,298,1618,308,2459,160,671,95,158,,,,,,,,,,,,
Peru,PER,29967,2834006,,10131,10014,936207,,25112,1164302,,,,,,,,7040,18072,4644,25323,3059,7072,3042,6972,353487,1931347,902659,667947,268260,1282875,923336,359539,,,,810815
Paraguay,PRY,6062,819134,,4031,2286,732189,,5111,190635,,,,,,,,1708,3403,1684,4378,1666,2365,965,1321,62844,514412,304722,499718,232471,225566,159827,65739,,,,127791
El Salvador,SLV,3910,448008,,2307,664,199958,,3828,148796,,,,,,,,719,3109,681,3229,642,1665,392,272,82943,186790,261218,102991,96967,124642,102373,22269,,,,65853
Suriname,SUR,350,62687,5951,151,46,39461,3185,,,,,,4012,1939,2353,832,,,192,158,102,49,43,3,,44231,18456,29993,9468,14681,14371,310,1549,1501,48,
Uruguay,URY,2046,242374,,308,308,221130,,231,77664,,,,,,,,,,,,,,,,,,,,,,,,,,,
